Project,Bug_ID,Buggy_Code,Fixed_Code
ansible,2,"def __gt__(self, other):
return not self.__lt__(other)
return self.__gt__(other) or self.__eq__(other)
def __gt__(self, other):
return not self.__lt__(other)
return self.__gt__(other) or self.__eq__(other)","def __gt__(self, other):
return not self.__le__(other)
return not self.__lt__(other)
def __gt__(self, other):
return not self.__le__(other)
return not self.__lt__(other)"
ansible,3,elif path == '/etc/lsb-release' and 'Kali' in data:,"elif path in ('/etc/lsb-release', '/etc/os-release') and 'Kali' in data:
# Kali does not provide /etc/lsb-release anymore"
ansible,4,"_collections = FieldAttribute(isa='list', listof=string_types, priority=100, default=_ensure_default_collection)","_collections = FieldAttribute(isa='list', listof=string_types, priority=100, default=_ensure_default_collection,
always_post_validate=True, static=True)
# This duplicates static attr checking logic from post_validate()
# because if the user attempts to template a collection name, it will
# error before it ever gets to the post_validate() warning.
env = Environment()
for collection_name in ds:
if is_template(collection_name, env):
display.warning('""collections"" is not templatable, but we found: %s, '
'it will not be templated and will be used ""as is"".' % (collection_name))"
ansible,5,"msg = ""missing required arguments: %s"" % "", "".join(missing)
expected = ""TypeError('parameters are mutually exclusive: string1|string2, box|fox|socks',)""
assert e.value == expected
assert ""TypeError: 'NoneType' object is not iterable"" in to_native(te.error)","msg = ""missing required arguments: %s"" % "", "".join(sorted(missing))
expected = ""parameters are mutually exclusive: string1|string2, box|fox|socks""
assert to_native(e.value) == expected
assert ""'NoneType' object is not iterable"" in to_native(te.value)"
ansible,6,"# In the case we are checking a new requirement on a base requirement (parent != None) we can't accept
# version as '*' (unknown version) unless the requirement is also '*'.
if parent and version == '*' and requirement != '*':
break
elif requirement == '*' or version == '*':
continue
version = manifest['version']
existing[0].add_requirement(to_text(collection_info), requirement)","# In the case we are checking a new requirement on a base requirement (parent != None) we can't accept
# version as '*' (unknown version) unless the requirement is also '*'.
if parent and version == '*' and requirement != '*':
display.warning(""Failed to validate the collection requirement '%s:%s' for %s when the existing ""
""install does not have a version set, the collection may not work.""
% (to_text(self), req, parent))
continue
elif requirement == '*' or version == '*':
continue
version = to_text(manifest['version'], errors='surrogate_or_strict')
if not hasattr(LooseVersion(version), 'version'):
display.warning(""Collection at '%s' does not have a valid version set, falling back to '*'. Found ""
""version: '%s'"" % (to_text(b_path), version))
version = '*'
existing[0].add_requirement(parent, requirement)"
ansible,7,"for key in to_remove:
commands.append(""no {0}"".format(key))","for key in to_remove:
if key in to_set.keys():
continue
commands.append(""no {0}"".format(key))"
ansible,8,"parts = []
for arg in args:
arg = self._unquote(arg).replace('/', '\\')
parts.extend([a for a in arg.split('\\') if a])
path = '\\'.join(parts)
if path.startswith('~'):
return path
return path","# use normpath() to remove doubled slashed and convert forward to backslashes
parts = [ntpath.normpath(self._unquote(arg)) for arg in args]
# Becuase ntpath.join treats any component that begins with a backslash as an absolute path,
# we have to strip slashes from at least the beginning, otherwise join will ignore all previous
# path components except for the drive.
return ntpath.join(parts[0], *[part.strip('\\') for part in parts[1:]])"
ansible,9,"args = [SUBMAN_CMD, 'attach', '--pool', pool_id, '--quantity', quantity]
pool_id, quantity = value, 1
pool_ids[pool_id] = str(quantity)","args = [SUBMAN_CMD, 'attach', '--pool', pool_id]
if quantity is not None:
args.extend(['--quantity', to_native(quantity)])
pool_id, quantity = value, None
pool_ids[pool_id] = quantity"
black,1,"executor = ProcessPoolExecutor(max_workers=worker_count)
executor.shutdown()
executor: Executor,","try:
executor = ProcessPoolExecutor(max_workers=worker_count)
except OSError:
# we arrive here if the underlying system does not support multi-processing
# like in AWS Lambda, in which case we gracefully fallback to the default
# mono-process Executor by using None
executor = None
if executor is not None:
executor.shutdown()
executor: Optional[Executor],"
black,10,"elif char == ' ':
elif char == '\t':
current_column += 4",elif char in ' \t':
black,11,"if not line.should_explode and is_line_short_enough(
line, line_length=line_length, line_str=line_str","# we don't want to split special comments like type annotations
# https://github.com/python/typing/issues/186
has_special_comment = False
for leaf in line.leaves:
for comment in line.comments_after(leaf):
if leaf.type == token.COMMA and is_special_comment(comment):
has_special_comment = True
if (
not has_special_comment
and not line.should_explode
and is_line_short_enough(line, line_length=line_length, line_str=line_str)
""""""Return True if the given leaf is a special comment.
Only returns true for type comments for now.""""""
t = leaf.type
v = leaf.value
return bool(
(t == token.COMMENT or t == STANDALONE_COMMENT) and (v.startswith(""# type:""))
)"
black,12,"_for_loop_variable: int = 0
_lambda_arguments: int = 0
self._for_loop_variable += 1
if self._for_loop_variable and leaf.type == token.NAME and leaf.value == ""in"":
self._for_loop_variable -= 1
self._lambda_arguments += 1
if self._lambda_arguments and leaf.type == token.COLON:
self._lambda_arguments -= 1","_for_loop_depths: List[int] = Factory(list)
_lambda_argument_depths: List[int] = Factory(list)
self._for_loop_depths.append(self.depth)
if (
self._for_loop_depths
and self._for_loop_depths[-1] == self.depth
and leaf.type == token.NAME
and leaf.value == ""in""
):
self._for_loop_depths.pop()
self._lambda_argument_depths.append(self.depth)
if (
self._lambda_argument_depths
and self._lambda_argument_depths[-1] == self.depth
and leaf.type == token.COLON
):
self._lambda_argument_depths.pop()"
black,13,"if token == 'def':
async_def = True
async_def_indent = indents[-1]","if token in ('def', 'for'):
if token == 'def':
async_def = True
async_def_indent = indents[-1]"
black,14,"imports = set()
for import_from_child in first_child.children[3:]:
if isinstance(import_from_child, Leaf):
if import_from_child.type == token.NAME:
imports.add(import_from_child.value)
else:
assert import_from_child.type == syms.import_as_names
for leaf in import_from_child.children:
if isinstance(leaf, Leaf) and leaf.type == token.NAME:
imports.add(leaf.value)","Generator,
imports: Set[str] = set()
def get_imports_from_children(children: List[LN]) -> Generator[str, None, None]:
for child in children:
if isinstance(child, Leaf):
if child.type == token.NAME:
yield child.value
elif child.type == syms.import_as_name:
orig_name = child.children[0]
assert isinstance(orig_name, Leaf), ""Invalid syntax parsing imports""
assert orig_name.type == token.NAME, ""Invalid syntax parsing imports""
yield orig_name.value
elif child.type == syms.import_as_names:
yield from get_imports_from_children(child.children)
else:
assert False, ""Invalid syntax parsing imports""
imports |= set(get_imports_from_children(first_child.children[3:]))"
black,15,"Type,
""""""Base exception for `# fmt: on` and `# fmt: off` handling.
It holds the number of bytes of the prefix consumed before the format
control comment appeared.
""""""
def __init__(self, consumed: int) -> None:
super().__init__(consumed)
self.consumed = consumed
def trim_prefix(self, leaf: Leaf) -> None:
leaf.prefix = leaf.prefix[self.consumed :]
def leaf_from_consumed(self, leaf: Leaf) -> Leaf:
""""""Returns a new Leaf from the consumed part of the prefix.""""""
unformatted_prefix = leaf.prefix[: self.consumed]
return Leaf(token.NEWLINE, unformatted_prefix)
""""""Found a comment like `# fmt: on` in the file.""""""
""""""Found a comment like `# fmt: off` in the file.""""""
def show(cls, code: str) -> None:
list(v.visit(lib2to3_parse(code)))
""""""Just like :class:`Line` but stores lines which aren't reformatted.""""""
def append(self, leaf: Leaf, preformatted: bool = True) -> None:
""""""Just add a new `leaf` to the end of the lines.
The `preformatted` argument is ignored.
Keeps track of indentation `depth`, which is useful when the user
says `# fmt: on`. Otherwise, doesn't do anything with the `leaf`.
""""""
try:
list(generate_comments(leaf))
except FormatOn as f_on:
self.leaves.append(f_on.leaf_from_consumed(leaf))
raise
self.leaves.append(leaf)
if leaf.type == token.INDENT:
self.depth += 1
elif leaf.type == token.DEDENT:
self.depth -= 1
def __str__(self) -> str:
""""""Render unformatted lines from leaves which were added with `append()`.
`depth` is not used for indentation in this case.
""""""
if not self:
return ""\n""
res = """"
for leaf in self.leaves:
res += str(leaf)
return res
def append_comment(self, comment: Leaf) -> bool:
""""""Not implemented in this class. Raises `NotImplementedError`.""""""
raise NotImplementedError(""Unformatted lines don't store comments separately."")
def maybe_remove_trailing_comma(self, closing: Leaf) -> bool:
""""""Does nothing and returns False.""""""
return False
def maybe_increment_for_loop_variable(self, leaf: Leaf) -> bool:
""""""Does nothing and returns False.""""""
return False
if isinstance(current_line, UnformattedLines):
return 0, 0
def line(self, indent: int = 0, type: Type[Line] = Line) -> Iterator[Line]:
if self.current_line.__class__ == type:
self.current_line.depth += indent
else:
self.current_line = type(depth=self.current_line.depth + indent)
self.current_line = type(depth=complete_line.depth + indent)
def visit(self, node: LN) -> Iterator[Line]:
""""""Main method to visit `node` and its children.
Yields :class:`Line` objects.
""""""
if isinstance(self.current_line, UnformattedLines):
# File contained `# fmt: off`
yield from self.visit_unformatted(node)
else:
yield from super().visit(node)
try:
for comment in generate_comments(node):
if any_open_brackets:
# any comment within brackets is subject to splitting
self.current_line.append(comment)
elif comment.type == token.COMMENT:
# regular trailing comment
self.current_line.append(comment)
yield from self.line()
else:
# regular standalone comment
yield from self.line()
self.current_line.append(comment)
yield from self.line()
except FormatOff as f_off:
f_off.trim_prefix(node)
yield from self.line(type=UnformattedLines)
yield from self.visit(node)
except FormatOn as f_on:
# This only happens here if somebody says ""fmt: on"" multiple
# times in a row.
f_on.trim_prefix(node)
yield from self.visit_default(node)
else:
normalize_prefix(node, inside_brackets=any_open_brackets)
if self.normalize_strings and node.type == token.STRING:
normalize_string_prefix(node, remove_u_prefix=self.remove_u_prefix)
normalize_string_quotes(node)
if node.type not in WHITESPACE:
self.current_line.append(node)
def visit_unformatted(self, node: LN) -> Iterator[Line]:
""""""Used when file contained a `# fmt: off`.""""""
if isinstance(node, Node):
for child in node.children:
yield from self.visit(child)
else:
try:
self.current_line.append(node)
except FormatOn as f_on:
f_on.trim_prefix(node)
yield from self.line()
yield from self.visit(node)
if node.type == token.ENDMARKER:
# somebody decided not to put a final `# fmt: on`
yield from self.line()
if pc.value in FMT_ON:
raise FormatOn(pc.consumed)
if pc.value in FMT_OFF:
if pc.type == STANDALONE_COMMENT:
raise FormatOff(pc.consumed)
prev = preceding_leaf(leaf)
if not prev or prev.type in WHITESPACE:  # standalone comment in disguise
raise FormatOff(pc.consumed)
if isinstance(line, UnformattedLines) or line.is_comment:
""""""Allow `# fmt: off`/`# fmt: on` within bracket pairs.
Ignores `# fmt: off` and `# fmt: on` outside of brackets.
Raises :exc:`SyntaxError` if no matching `# fmt: on` is found for a `# fmt: off`
given inside brackets.
""""""
try_again = hide_fmt_off(node)
bt = BracketTracker()
for leaf in node.leaves():
bt.mark(leaf)
if bt.depth == 0:
continue
while container is not None:","def show(cls, code: Union[str, Leaf, Node]) -> None:
if isinstance(code, str):
code = lib2to3_parse(code)
list(v.visit(code))
def line(self, indent: int = 0) -> Iterator[Line]:
self.current_line.depth += indent
self.current_line = Line(depth=complete_line.depth + indent)
for comment in generate_comments(node):
if any_open_brackets:
# any comment within brackets is subject to splitting
self.current_line.append(comment)
elif comment.type == token.COMMENT:
# regular trailing comment
self.current_line.append(comment)
yield from self.line()
else:
# regular standalone comment
yield from self.line()
self.current_line.append(comment)
yield from self.line()
normalize_prefix(node, inside_brackets=any_open_brackets)
if self.normalize_strings and node.type == token.STRING:
normalize_string_prefix(node, remove_u_prefix=self.remove_u_prefix)
normalize_string_quotes(node)
if node.type not in WHITESPACE:
self.current_line.append(node)
def visit_STANDALONE_COMMENT(self, leaf: Leaf) -> Iterator[Line]:
if not self.current_line.bracket_tracker.any_open_brackets():
yield from self.line()
yield from self.visit_default(leaf)
if parent.type == syms.file_input:
break
if line.is_comment:
""""""Convert content between `# fmt: off`/`# fmt: on` into standalone comments.""""""
try_again = convert_one_fmt_off_pair(node)
""""""Convert content of a single `# fmt: off`/`# fmt: on` into a standalone comment.
Returns True if a pair was converted.
""""""
for leaf in node.leaves():
# We only want standalone comments. If there's no previous leaf or
# the previous leaf is indentation, it's a standalone comment in
# disguise.
if comment.type != STANDALONE_COMMENT:
prev = preceding_leaf(leaf)
if prev and prev.type not in WHITESPACE:
continue
if hidden_value.endswith(""\n""):
# That happens when one of the `ignored_nodes` ended with a NEWLINE
# leaf (possibly followed by a DEDENT).
hidden_value = hidden_value[:-1]
""""""Starting from the container of `leaf`, generate all leaves until `# fmt: on`.
Stops at the end of the block.
""""""
while container is not None and container.type != token.ENDMARKER:"
black,16,"normalized_path = ""/"" + child.resolve().relative_to(root).as_posix()","Symbolic links pointing outside of the root directory are ignored.
try:
normalized_path = ""/"" + child.resolve().relative_to(root).as_posix()
except ValueError:
if child.is_symlink():
report.path_ignored(
child,
""is a symbolic link that points outside of the root directory"",
)
continue
raise"
black,17,"if src_txt[-1] != ""\n"":","if not lines:
return """", encoding, ""\n""
if src_txt[-1:] != ""\n"":"
black,18,"with tokenize.open(src) as src_buffer:
src_contents = src_buffer.read()
with open(src, ""w"", encoding=src_buffer.encoding) as f:
sys.stdout.write(diff_contents)
src = sys.stdin.read()
sys.stdout.write(dst)
sys.stdout.write(diff(src, dst, src_name, dst_name))
nl = ""\r\n"" if ""\r\n"" in src_txt[:1024] else ""\n""
src_txt += nl","with open(src, ""rb"") as buf:
newline, encoding, src_contents = prepare_input(buf.read())
with open(src, ""w"", encoding=encoding, newline=newline) as f:
f = io.TextIOWrapper(
sys.stdout.buffer,
encoding=encoding,
newline=newline,
write_through=True,
)
f.write(diff_contents)
f.detach()
newline, encoding, src = prepare_input(sys.stdin.buffer.read())
f = io.TextIOWrapper(
sys.stdout.buffer,
encoding=encoding,
newline=newline,
write_through=True,
)
f.write(dst)
f.detach()
f = io.TextIOWrapper(
sys.stdout.buffer,
encoding=encoding,
newline=newline,
write_through=True,
)
f.write(diff(src, dst, src_name, dst_name))
f.detach()
""""""Analyze `src` and return a tuple of (newline, encoding, decoded_contents)
Where `newline` is either CRLF or LF, and `decoded_contents` is decoded with
universal newlines (i.e. only LF).
""""""
srcbuf = io.BytesIO(src)
encoding, lines = tokenize.detect_encoding(srcbuf.readline)
newline = ""\r\n"" if b""\r\n"" == lines[0][-2:] else ""\n""
srcbuf.seek(0)
return newline, encoding, io.TextIOWrapper(srcbuf, encoding).read()
src_txt += ""\n"""
black,19,,
black,2,"is_fmt_on = False
for comment in list_comments(container.prefix, is_endmarker=False):
if comment.value in FMT_ON:
is_fmt_on = True
elif comment.value in FMT_OFF:
is_fmt_on = False
if is_fmt_on:
yield container
container = container.next_sibling","if fmt_on(container):
# fix for fmt: on in children
if contains_fmt_on_at_column(container, leaf.column):
for child in container.children:
if contains_fmt_on_at_column(child, leaf.column):
return
yield child
else:
yield container
container = container.next_sibling
is_fmt_on = False
for comment in list_comments(container.prefix, is_endmarker=False):
if comment.value in FMT_ON:
is_fmt_on = True
elif comment.value in FMT_OFF:
is_fmt_on = False
return is_fmt_on
for child in container.children:
if (
isinstance(child, Node)
and first_leaf_column(child) == column
or isinstance(child, Leaf)
and child.column == column
):
if fmt_on(child):
return True
return False
for child in node.children:
if isinstance(child, Leaf):
return child.column
return None"
black,20,"src_name = f""{src.name}  (original)""
dst_name = f""{src.name}  (formatted)""","src_name = f""{src}  (original)""
dst_name = f""{src}  (formatted)"""
black,21,"mode=""w"", prefix=""blk_"", suffix="".log"", delete=False","mode=""w"", prefix=""blk_"", suffix="".log"", delete=False, encoding=""utf8"""
black,22,"Dict, Generic, Iterable, Iterator, List, Optional, Set, Tuple, Type, TypeVar, Union
comments: Dict[LeafID, Leaf] = Factory(dict)
if self.maybe_adapt_standalone_comment(leaf):
return
return bool(self) and self.leaves[0].type == STANDALONE_COMMENT
self.leaves.pop()
self.leaves.pop()
self.leaves.pop()
def maybe_adapt_standalone_comment(self, comment: Leaf) -> bool:
""""""Hack a standalone comment to act as a trailing comment for line splitting.
If this line has brackets and a standalone `comment`, we need to adapt
it to be able to still reformat the line.
This is not perfect, the line to which the standalone comment gets
appended will appear ""too long"" when splitting.
""""""
if not (
comment.type = token.COMMENT
comment.prefix = '\n' + '    ' * (self.depth + 1)
return self.append_comment(comment)
def append_comment(self, comment: Leaf) -> bool:
""""""Add an inline comment to the line.""""""
try:
after = id(self.last_non_delimiter())
except LookupError:
if after in self.comments:
self.comments[after].value += str(comment)
else:
self.comments[after] = comment
def last_non_delimiter(self) -> Leaf:
""""""Return the last non-delimiter on the line. Raise LookupError otherwise.""""""
for i in range(len(self.leaves)):
last = self.leaves[-i - 1]
if not is_delimiter(last):
return last
raise LookupError(""No non-delimiters found"")
for comment in self.comments.values():
def maybe_adapt_standalone_comment(self, comment: Leaf) -> bool:
""""""Does nothing and returns False.""""""
return False
if isinstance(line, UnformattedLines):
if len(line_str) <= line_length and '\n' not in line_str:
split_funcs = [delimiter_split]
if '\n' not in line_str:
# Only attempt RHS if we don't have multiline strings or comments
# on this line.
split_funcs.append(right_hand_split)
for l in split_func(line, py36=py36):
comment_after = line.comments.get(id(leaf))
if comment_after:
comment_after = line.comments.get(id(leaf))
if comment_after:
This kind of split doesn't increase indentation.
current_line.append(leaf, preformatted=True)
comment_after = line.comments.get(id(leaf))
if comment_after:
current_line.append(comment_after, preformatted=True)
normalize_prefix(current_line.leaves[0], inside_brackets=True)
normalize_prefix(current_line.leaves[0], inside_brackets=True)","Callable,
Dict,
Generic,
Iterable,
Iterator,
List,
Optional,
Set,
Tuple,
Type,
TypeVar,
Union,
comments: List[Tuple[Index, Leaf]] = Factory(list)
def append_safe(self, leaf: Leaf, preformatted: bool = False) -> None:
""""""Like :func:`append()` but disallow invalid standalone comment structure.
Raises ValueError when any `leaf` is appended after a standalone comment
or when a standalone comment is not the first leaf on the line.
""""""
if self.bracket_tracker.depth == 0:
if self.is_comment:
raise ValueError(""cannot append to standalone comments"")
if self.leaves and leaf.type == STANDALONE_COMMENT:
raise ValueError(
""cannot append standalone comments to a populated line""
)
self.append(leaf, preformatted=preformatted)
return len(self.leaves) == 1 and self.leaves[0].type == STANDALONE_COMMENT
@property
def contains_standalone_comments(self) -> bool:
""""""If so, needs to be split before emitting.""""""
for leaf in self.leaves:
if leaf.type == STANDALONE_COMMENT:
return True
return False
self.remove_trailing_comma()
self.remove_trailing_comma()
self.remove_trailing_comma()
def append_comment(self, comment: Leaf) -> bool:
""""""Add an inline or standalone comment to the line.""""""
if (
comment.prefix = ''
after = len(self.leaves) - 1
if after == -1:
self.comments.append((after, comment))
def comments_after(self, leaf: Leaf) -> Iterator[Leaf]:
""""""Generate comments that should appear directly after `leaf`.""""""
for _leaf_index, _leaf in enumerate(self.leaves):
if leaf is _leaf:
break
else:
return
for index, comment_after in self.comments:
if _leaf_index == index:
yield comment_after
def remove_trailing_comma(self) -> None:
""""""Remove the trailing comma and moves the comments attached to it.""""""
comma_index = len(self.leaves) - 1
for i in range(len(self.comments)):
comment_index, comment = self.comments[i]
if comment_index == comma_index:
self.comments[i] = (comma_index - 1, comment)
self.leaves.pop()
for _, comment in self.comments:
if isinstance(line, UnformattedLines) or line.is_comment:
if (
len(line_str) <= line_length
and '\n' not in line_str  # multiline strings
and not line.contains_standalone_comments
):
split_funcs: List[SplitFunc]
split_funcs = [delimiter_split, standalone_comment_split, right_hand_split]
for l in split_func(line, py36):
for comment_after in line.comments_after(leaf):
for comment_after in line.comments_after(leaf):
""""""Normalize prefix of the first leaf in every line returned by `split_func`.
This is a decorator over relevant split functions.
""""""
@wraps(split_func)
def split_wrapper(line: Line, py36: bool = False) -> Iterator[Line]:
for l in split_func(line, py36):
normalize_prefix(l.leaves[0], inside_brackets=True)
yield l
return split_wrapper
def append_to_line(leaf: Leaf) -> Iterator[Line]:
""""""Append `leaf` to current line or to new line if appending impossible.""""""
nonlocal current_line
try:
current_line.append_safe(leaf, preformatted=True)
except ValueError as ve:
yield current_line
current_line = Line(depth=line.depth, inside_brackets=line.inside_brackets)
current_line.append(leaf)
yield from append_to_line(leaf)
for comment_after in line.comments_after(leaf):
yield from append_to_line(comment_after)
yield current_line
""""""Split standalone comments from the rest of the line.""""""
for leaf in line.leaves:
if leaf.type == STANDALONE_COMMENT:
if leaf.bracket_depth == 0:
break
else:
raise CannotSplit(""Line does not have any standalone comments"")
current_line = Line(depth=line.depth, inside_brackets=line.inside_brackets)
def append_to_line(leaf: Leaf) -> Iterator[Line]:
""""""Append `leaf` to current line or to new line if appending impossible.""""""
nonlocal current_line
try:
current_line.append_safe(leaf, preformatted=True)
except ValueError as ve:
yield current_line
current_line = Line(depth=line.depth, inside_brackets=line.inside_brackets)
current_line.append(leaf)
for leaf in line.leaves:
yield from append_to_line(leaf)
for comment_after in line.comments_after(leaf):
yield from append_to_line(comment_after)
if current_line:"
black,23,"drv = driver.Driver(grammar, pytree.convert)
try:
result = drv.parse_string(src_txt, True)
except ParseError as pe:
lineno, column = pe.context[1]
lines = src_txt.splitlines()
faulty_line = lines[lineno - 1]
except IndexError:
faulty_line = ""<line number missing in source>""
raise ValueError(f""Cannot parse: {lineno}:{column}: {faulty_line}"") from None
raise AssertionError(f""cannot parse source: {exc}"") from None","pygram.python_grammar_no_print_statement_no_exec_statement,
pygram.python_grammar_no_print_statement,
pygram.python_grammar_no_exec_statement,
pygram.python_grammar,
for grammar in GRAMMARS:
drv = driver.Driver(grammar, pytree.convert)
result = drv.parse_string(src_txt, True)
break
except ParseError as pe:
lineno, column = pe.context[1]
lines = src_txt.splitlines()
try:
faulty_line = lines[lineno - 1]
except IndexError:
faulty_line = ""<line number missing in source>""
exc = ValueError(f""Cannot parse: {lineno}:{column}: {faulty_line}"")
else:
raise exc from None
elif (
prevp.type == token.RIGHTSHIFT
and prevp.parent
and prevp.parent.type == syms.shift_expr
and prevp.prev_sibling
and prevp.prev_sibling.type == token.NAME
and prevp.prev_sibling.value == 'print'
):
# Python 2 print chevron
return NO
major, minor = sys.version_info[:2]
raise AssertionError(
f""cannot use --safe with this file; failed to parse source file ""
f""with Python {major}.{minor}'s builtin AST. Re-run with --fast ""
f""or stop using deprecated Python 2 syntax. AST error message: {exc}""
)
exec(""new-style exec"", {}, {})
exec(""new-style exec"", {}, {})"
black,3,"exists=False, file_okay=True, dir_okay=False, readable=True, allow_dash=False","exists=True, file_okay=True, dir_okay=False, readable=True, allow_dash=False"
black,4,before -= self.previous_after,"before = (
# Black should not insert empty lines at the beginning
# of the file
0
if self.previous_line is None
else before - self.previous_after
)"
black,5,"if leaf.parent and leaf.parent.type == syms.arglist:
# Ensure a trailing comma for imports, but be careful not to add one after
# any comments.
if original.is_import:","if leaf.parent and leaf.parent.type in {
syms.arglist,
syms.typedargslist,
}:
# Ensure a trailing comma for imports and standalone function arguments, but
# be careful not to add one after any comments.
no_commas = original.is_def and not any(
l.type == token.COMMA for l in leaves
)
if original.is_import or no_commas:"
